nzffdRecordNumber,eventDate,eventTime,institution,waterBody,waterBodyType,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,minimumElevation,distanceOcean,samplingMethod,samplingProtocol,taxonName,taxonCommonName,totalCount,notCountedButPresent,notDetectedButSoughtAtSite,minLength,maxLength,dataVersion
134,25/01/1966,day,NIWA,Hakaru River tributary,Not Entered,,459.111,Oruawharo R,1734992,6001240,50,19.2,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
138,7/02/1964,day,NIWA,Horokiri Stream tributary,Not Entered,,309,Horokiri S,1762380,5453685,70,7,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
146,16/07/1961,day,NIWA,Hutt River,Not Entered,,298,Hutt R,1784280,5452783,180,42.4,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
162,21/02/1978,11:07,NIWA,Unnamed stream Hatters Beach,Not Entered,,923,Hatters B,1464649,5342152,30,0,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
168,22/02/1978,10:05,NIWA,Mawheraiti River,Not Entered,,914.29,Grey R,1497738,5337646,200,82,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
177,24/02/1978,14:25,NIWA,Caledonian Creek tributary,Not Entered,,908.06,Arahura R,1450735,5263573,90,19.9,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
180,25/02/1978,10:45,NIWA,Camp Creek,Not Entered,,906.015,Hokitika R,1449833,5255774,140,28.7,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
183,26/02/1978,8:35,NIWA,Stenhouse Creek,Not Entered,,904.02,Totara R,1426136,5253079,40,6.1,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
200,8/03/1978,11:00,NIWA,Manor Burn,Not Entered,,752.631,Clutha R,1335027,4962565,743,210.2,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
203,11/03/1978,14:00,NIWA,Waima River,Not Entered,,466.042,Wairoa R,1660320,6043343,70,64,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
204,13/03/1978,14:30,NIWA,Waima River,Not Entered,,466.042,Wairoa R,1656615,6046232,140,70.8,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
208,10/03/1978,11:30,NIWA,Waingarara Stream,Not Entered,,466.04,Wairoa R,1662120,6043247,90,61.3,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
210,12/09/1978,10:30,NIWA,Patea River,Not Entered,,342,Patea R,1700933,5646957,550,140.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
211,12/09/1978,day,NIWA,Patea River,Not Entered,,342,Patea R,1702633,5646758,490,138.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
213,12/09/1978,15:55,NIWA,Mangarangi Stream,Not Entered,,342.32,Patea R,1708933,5644763,330,131,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
214,13/09/1978,12:30,NIWA,Patea River tributary,Not Entered,,342,Patea R,1734646,5621180,20,44.8,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
216,14/09/1978,10:30,NIWA,Toko Stream,Not Entered,,342.27,Patea R,1725930,5647274,190,120.4,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
217,14/09/1978,11:45,NIWA,Toko Stream tributary,Not Entered,,342.27,Patea R,1726230,5648174,190,123,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
